go	geh
i can swim	ich kann schwimmen
i can wait	ich kann warten
i cant go	ich kann nicht gehen
i canceled	ich habe abgesagt
i canceled	ich sagte ab
i chew gum	ich kaue kaugummi
i disagree	ich bin anderer meinung
i disagree	ich bin anderer ansicht
i drank it	ich habe es getrunkten
i eat here	ich esse hier
i eat meat	ich esse fleisch
i eat rice	ich esse reis
i envy tom	ich beneide tom
i envy her	ich beneide sie
i envy him	ich beneide ihn
i feel bad	ich fuhle mich schlecht
i feel old	ich fuhle mich alt
i fixed it	ich habe es repariert
i fixed it	ich habe ihn repariert
i fixed it	ich habe sie repariert
i found it	ich habe es gefunden
i found it	ich habe ihn gefunden
i found it	ich habe sie gefunden
i got an a	ich habe eine eins bekommen
i had help	ich hatte hilfe
i hate tom	ich hasse tom
i have one	ich habe eine
i have one	ich habe eines
i have won	ich habe gewonnen
i have won	ich gewann
i have won	ich bin der sieger
i have won	ich bin sieger
i hear you	ich hore dich
i hear you	ich wei was ihr meint
i hear you	ich wei was sie meinen
i hear you	ich verstehe was ihr sagt
i hear you	ich verstehe was sie sagen
i heard it	ich habe es gehort
i heard it	ich habe es vernommen
i help him	ich helfe ihm
i hope not	ich hoffe nicht
i just ate	ich habe gerade gegessen
i knew tom	ich kannte tom
i know tom	ich kenne tom
i know her	ich kenne sie
i know now	ich wei es jetzt
i know you	ich kenne dich
i like tom	ich mag tom
i like art	ich mag kunst
i like him	ich mag ihn
i like tea	ich mag tee
i like you	du gefallst mir
i like you	ich mag dich
i listened	ich horte zu
i listened	ich habe zugehort
i love tom	ich liebe tom
i love him	ich liebe ihn
i love tea	ich liebe tee
i love you	ich liebe sie
i love you	ich liebe dich
i love you	ich liebe euch
i love you	ich liebe dich
i loved it	ich liebte es
i made tea	ich habe tee gemacht
i made tea	ich machte tee
i met them	ich habe sie getroffen
i met them	ich traf sie
i miss tom	ich vermisse tom
i miss tom	tom fehlt mir
i miss you	ich vermisse dich
i miss you	ich vermisse sie
i miss you	ich vermisse euch
i miss you	du fehlst mir
i need tom	ich brauche tom
i need air	ich brauche luft
i need ice	ich brauche eis
i need you	ich brauche dich
i need you	ich brauche sie
i need you	ich brauche euch
i panicked	ich geriet in panik
i pity you	du tust mir leid
i promised	ich habe es versprochen
i ran away	ich rannte davon
i ran home	ich lief nach hause
i ran home	ich rannte nach hause
i remember	ich erinnere mich
i resigned	ich bin zuruckgetreten
i resigned	ich trat zuruck
i said yes	ich sagte ja
i sat down	ich setzte mich
i saw that	das habe ich gesehen
i saw them	ich habe sie gesehen
i see that	ich sehe das
i shot tom	ich schoss auf tom
i survived	ich habe uberlebt
i survived	ich uberlebte
i think so	ich stimme dem zu
i threw up	ich habe gekotzt
i threw up	ich habe mich ubergeben
i threw up	ich habe erbrochen
i told tom	ich habe es tom gesagt
i use this	ich verwende das
i use this	ich benutze das
i want tom	ich will tom
i want one	ich will einen
i want one	ich will eins
i want one	ich will eine
i want one	ich will eins
i want you	ich will dich
i want you	ich will dich
i was away	ich war weg
i was busy	ich war beschaftigt
i was cold	mir war kalt
i was good	ich war gut
i was rude	ich war ruppig
i was sick	ich war krank
i will try	ich werde es versuchen
i wont go	ich werde nicht gehen
ill be ok	es wird mir gut gehen
ill do it	ich werde es tun
ill go in	ich werde reingehen
ill hurry	ich werde mich beeilen
ill shoot	ich werde schieen
ill stand	ich werde stehen
ill start	ich werde anfangen
im a cook	ich bin ein koch
im a girl	ich bin ein madchen
im a hero	ich bin ein held
im a monk	ich bin ein monch
im afraid	ich habe angst
im amused	ich bin amusiert
im anemic	ich habe blutarmut
im baking	ich koche gerade
im better	ich bin besser
im biased	ich bin voreingenommen
im buying	ich bezahle
im chubby	ich bin pummelig
im chubby	ich bin mollig
im coming	ich komme
im coming	ich bin gleich da
im eating	ich esse gerade
im eating	ich esse
im eating	ich bin dabei zu essen
im famous	ich bin beruhmt
im for it	ich bin dafur
im greedy	ich bin gierig
im hiding	ich verstecke mich
im hiding	ich verstecke mich gerade
im humble	ich bin bescheiden
im hungry	ich bin hungrig
im hungry	ich bin hungrig
im hungry	ich habe hunger
im immune	ich bin immun
im in bed	ich bin im bett
im inside	ich bin drinnen
im lonely	ich bin einsam
im losing	ich bin am verlieren
im losing	ich bin dabei zu verlieren
im losing	ich verliere
im mature	ich bin reif
im moving	ich bewege mich
im not ok	ich bin nicht okay
im rested	ich bin ausgeruht
im ruined	ich bin ruiniert
im scared	ich habe angst
im single	ich bin ledig
im single	ich bin single
im sleepy	ich bin mude
im sneaky	ich bin hinterlistig
im so fat	ich bin so dick
im so fat	ich bin so fett
im thirty	ich bin dreiig
im thirty	ich bin dreiig jahre alt
im twelve	ich bin zwolf jahre alt
im twelve	ich bin jahre alt
ive eaten	ich habe gegessen
ive tried	ich habe es versucht
ignore tom	ignorier tom
is tom big	ist tom gro
is tom hot	ist tom zu hei
is tom ill	ist tom krank
is tom out	ist tom drauen
is tom out	ist tom ausgegangen
is he busy	ist er beschaftigt
is he dead	ist er tot
is he tall	ist er gro
is it done	ist es fertig
is it free	ist es kostenlos
is it good	ist es gut
is it love	ist das liebe
is it over	ist es vorbei
is it time	ist es zeit
is it time	ist es so weit
is that it	ist es das
is this ok	ist das okay
is this it	ist es das
it happens	das passiert
it is	es ist uhr
it matters	das ist wichtig
it matters	das tut was zur sache
it was big	es war gro
itll work	es wird funktionieren
its toms	das gehort tom
its a bet	es ist eine wette
its a fad	das ist eine modeerscheinung
its a fad	das ist eine vorubergehende laune
its alive	es lebt
its bulky	es ist sperrig
its bulky	es ist unhandlich
its clean	es ist sauber
its clean	sie ist sauber
its clean	er ist sauber
its clear	es ist klar
its close	es ist nah
its early	es ist fruh
its great	es ist groartig
its green	das ist grun
its my cd	das ist meine cd
its night	es ist nacht
its on me	das geht auf meine rechnung
its ready	es ist bereit
its ready	es ist fertig
its shiny	es glanzt
its stuck	es steckt fest
its there	es ist da
its white	es ist wei
its windy	es ist windig
its yours	es ist deins
its yours	es gehort dir
jesus wept	jesus weinte
just do it	mach es doch
just relax	entspann dich einfach
keep going	mach weiter
keep it up	nicht nachlassen
keep it up	nicht nachlassen
keep quiet	bleib ruhig
keep quiet	bleibt ruhig
keep still	halt still
leave town	verlassen sie die stadt
let tom go	lass tom los
let tom go	lass tom gehen
let tom go	lassen sie tom gehen
let tom go	lasst tom gehen
let tom go	lassen sie tom los
let tom go	lasst tom los
let tom in	lass tom rein
let tom in	lassen sie tom rein
let tom in	lasst tom rein
let him go	lasst ihn gehen
let me die	lass mich sterben
let me out	lass mich raus
let me pay	lass mich bezahlen
let me pay	lass mich zahlen
let me pay	lass mich zahlen
let me see	lass mich sehen
let me see	lassen sie mich sehen
let me see	lasst mich sehen
let me see	lassen sie mich mal sehen
let me try	lass mich versuchen
let me try	lass mich mal probieren
let us out	lass uns heraus
let us out	lassen sie uns heraus
lets pray	lasset uns beten
lets talk	lass uns reden
lets vote	lasst uns abstimmen
lets wait	warten wir
lets walk	lasst uns gehen
look again	schau nochmal hin
look ahead	schau nach vorne
look ahead	schauen sie nach vorne
look ahead	schaut nach vorne
look ahead	seien sie vorausschauend
look at it	schau es dir an
look at me	sieh mich an
look at me	kuck mich an
look at us	schau uns an
look it up	schlag es nach
look there	sieh dort
love hurts	liebe tut weh
love lasts	die liebe bleibt
mama cried	mama weinte
never mind	mach dir nichts draus
no comment	kein kommentar
no kidding	wirklich
no kidding	echt
no kidding	ernsthaft
no kidding	im ernst
no problem	kein problem
no problem	kein problem
no problem	ohne probleme
oh really	ach wirklich
once again	noch einmal
once again	nochmal
pick it up	hebe es auf
pull me up	zieh mich hoch
pull me up	ziehen sie mich hoch
quiet down	beruhige dich
quiet down	sei leise
quiet down	beruhigt euch
quiet down	seid leise
quiet down	beruhigen sie sich
quiet down	seien sie leise
replace it	ersetze es
replace it	tausche es aus
replace it	ersetzen sie es
replace it	tauschen sie es aus
replace it	ersetzt es
replace it	tauscht es aus
run for it	beeile dich
say cheese	bitte lacheln
say cheese	bitte recht freundlich
say please	sag bitte
say please	sagen sie bitte
scoot over	rutsch mal
shadow him	folge ihm
she is old	sie ist alt
she smiled	sie lachelte
she smiled	sie hat gelachelt
shes busy	sie ist beschaftigt
shes mine	sie gehort mir
sing along	sing mit
smell this	riech mal
start here	beginne hier
start here	beginnen sie hier
start here	fang hier an
start here	fangen sie hier an
start over	fang noch mal von vorne an
start over	fangen sie noch mal von vorne an
stay sharp	bleibt wachsam
step aside	zur seite
step aside	geh zur seite
step aside	gehen sie zur seite
step on it	beeil dich
step on it	gib gas
stop lying	horen sie auf zu lugen
stop lying	hor auf zu lugen
stop lying	hort auf zu lugen
stop there	halte dort an
stop there	bleib dort stehen
study more	lern mehr
take a bus	nehmt einen bus
take a bus	nehmen sie einen bus
take a bus	fahre mit dem bus
take a nap	mach ein nickerchen
take a nap	machen sie ein nickerchen
take a nap	macht ein nickerchen
take cover	geh in deckung
take cover	gehen sie in deckung
take cover	geht in deckung
take these	nimm das hier
take these	nehmt das hier
take these	nehmen sie das hier
talk to me	sprich mit mir
talk to me	rede mit mir
talk to me	rede mit mir
talk to me	sprich mit mir
taste this	schmecken sie das
taste this	schmeck das
that a boy	guter junge
that hurts	das tut weh
thatll do	das wird gehen
thats tom	das ist tom
thats all	das ist alles
thats his	das gehort ihm
thats new	es ist neu
thats sad	das ist betrublich
thats sad	das ist traurig
they agree	sie sind einverstanden
they agree	sie stimmen zu
they cheat	sie mogeln
they cheat	sie schummeln
they cheat	sie betrugen
they slept	sie schliefen
they stood	sie standen
they tried	sie versuchten es
they voted	sie haben abgestimmt
they voted	sie haben gewahlt
theyre in	sie sind dabei
this is ok	das ist in ordnung
this is it	das ist es
this is me	das bin ich
thisll do	das wird genugen
time is up	die zeit ist um
tom agreed	tom stimmte zu
tom agreed	tom war einverstanden
tom agrees	tom ist einverstanden
tom ate it	tom hats gegessen
tom bit me	tom hat mich gebissen
tom burped	tom rulpste
tom burped	tom stie auf
tom called	tom hat angerufen
tom cheats	tom betrugt
tom cheats	tom schummelt
tom cheats	tom mogelt
tom danced	tom tanzte
tom dances	tom tanzt
tom did it	tom hat es geschafft
tom did it	tom hat das getan
tom drinks	tom trinkt
tom drives	tom fahrt
tom drives	tom fahrt auto
tom failed	tom versagte
tom failed	tom hat versagt
tom forgot	tom verga
tom forgot	tom verga es
tom fought	tom kampfte
tom gasped	tom schnappte nach luft
tom gasped	tom japste
tom goofed	tom hat einen dummen fehler gemacht
tom got up	tom stand auf
tom has it	tom hat es
tom helped	tom half
tom helped	tom hat geholfen
tom hit me	tom hat mich gehauen
tom is bad	tom ist schlecht
tom is big	tom ist gro
tom is fat	tom ist dick
tom is fun	tom ist lustig
tom is ill	tom ist krank
tom is mad	tom ist wutend
tom is new	tom ist neu
tom is odd	tom ist komisch
tom is old	tom ist alt
tom is out	tom ist nicht hier
tom is out	tom ist drauen
tom is sad	tom ist traurig
tom is shy	tom ist schuchtern
tom is wet	tom ist nass
tom jumped	tom ist gesprungen
tom looked	tom schaute
tom moaned	tom achzte
tom moaned	tom stohnte
tom nodded	tom nickte
tom obeyed	tom gehorchte
tom obeyed	tom fugte sich
tom obeyed	tom hat sich gefugt
tom obeyed	tom hat gehorcht
tom paints	tom malt
tom paused	tom hielt inne
tom phoned	tom telefonierte
tom phoned	tom hat telefoniert
tom prayed	tom betete
tom prayed	tom hat gebetet
tom sat up	tom setzte sich auf
tom saw it	tom sah es
tom saw it	tom hat es gesehen
tom saw me	tom sah mich
tom saw us	tom sah uns
tom shaved	tom rasierte sich
tom shaved	tom hat sich rasiert
tom sighed	tom seufzte
tom smiled	tom lachelte
tom smoked	tom rauchte
tom smoked	tom hat geraucht
tom smokes	tom raucht
tom snores	tom schnarcht
tom stayed	tom blieb
tom stayed	tom ist geblieben
tom talked	tom hat gesprochen
tom talked	tom sprach
tom waited	tom wartete
tom walked	tom lief
tom walked	tom ging zu fu
tom winked	tom zwinkerte
tom worked	tom hat gearbeitet
tom worked	tom arbeitete
tom yawned	tom gahnte
tom yelled	tom schrie
tom yelled	tom hat geschrien
tomll cry	tom wird heulen
tomll die	tom wird sterben
tomll pay	tom wird bezahlen
toms busy	tom ist beschaftigt
toms deaf	tom ist taub
toms died	tom ist gestorben
toms fast	tom ist schnell
toms free	tom hat zeit
toms free	tom ist frei
toms glad	tom ist froh
toms gone	tom ist weg
toms here	tom ist hier
toms home	tom ist zu hause
toms hurt	tom ist verletzt
toms left	tom ist gegangen
toms mean	tom ist gemein
toms safe	tom ist in sicherheit
toms sick	tom ist krank
toms ugly	tom ist hasslich
toms weak	tom ist schwach
toms well	tom geht es gut
tough luck	pech gehabt
try harder	streng dich mehr an
try harder	strengt euch mehr an
try harder	strengen sie sich mehr an
try harder	gib dir mehr muhe
try harder	gib dir groere muhe
turn it on	mach es an
turn it on	machen sie es an
turn it on	macht es an
turn it on	schalte es an
turn it on	schalte es ein
turn it on	schalte ihn an
turn it on	schalte ihn ein
turn it on	schalte sie an
turn it up	mach es lauter
turn right	rechts abbiegen
wait a sec	warte mal kurz
wait a sec	moment mal
wait a sec	augenblick mal
wait a sec	wart mal kurz
war is bad	krieg ist schlecht
was it fun	hat es spa gemacht
watch this	schau dir das an
watch this	guck mal
we all die	wir alle sterben
we all lie	wir lugen alle
we are men	wir sind manner
we buy cds	wir kaufen cds
we can pay	wir konnen bezahlen
we can try	wir konnen es versuchen
we can win	wir konnen gewinnen
we can win	wir konnen siegen
we had fun	wir hatten unseren spa
we laughed	wir lachten
we like it	wir mogen es
we lost it	wir haben es verloren
we lost it	wir haben ihn verloren
we lost it	wir haben sie verloren
we lost it	wir rasteten aus
we love it	wir lieben es
we made it	wir haben es geschafft
we made it	wir haben es geschafft
we saw tom	wir haben tom gesehen
we saw you	wir haben dich gesehen
we want it	wir wollen es
well cook	wir werden kochen
well help	wir werden helfen
well obey	wir werden gehorchen
well sing	wir werden singen
well wait	wir werden warten
well walk	wir werden zu fu gehen
well walk	wir werden laufen
well work	wir werden arbeiten
were back	wir sind zuruck
were back	wir sind wieder da
were boys	wir sind jungs
were busy	wir sind beschaftigt
were cold	uns ist kalt
were even	wir sind quitt
were fine	uns geht es gut
were here	wir sind hier
were here	wir sind da
were home	wir sind zu hause
were late	wir sind spat dran
were late	wir sind zu spat
were lazy	wir sind faul
were rich	wir sind reich
were safe	wir sind sicher
were sick	wir sind krank
were weak	wir sind schwach
what gives	was ist los
what gives	was gibts neues
what is it	was ist das fur ein ding
what is it	was gibt es
whats new	was gibt es neues
whats new	was gibts neues
where am i	wo bin ich
who are we	wer sind wir
who did it	wer hat es getan
who did it	wer hat es gemacht
who did it	wer tat das
who has it	wer hat es
who has it	wer hat ihn
who has it	wer hat sie
who is she	wer ist sie
who phoned	wer hat telefoniert
who phoned	wer telefonierte
who saw me	wer sah mich
who saw me	wer hat mich gesehen
who stayed	wer blieb
who stayed	wer ist geblieben
who talked	wer hat gesprochen
who talked	wer sprach
who was it	wer wars
who yelled	wer hat geschrien
who yelled	wer schrie
whos here	wer ist hier
whos next	wer ist als nachstes dran
whos sick	wer ist krank
whos that	wer ist das
why bother	was solls bringen
wood burns	holz brennt
you called	hast du angerufen
you called	haben sie angerufen
you decide	du bestimmst
you decide	sie entscheiden
you may go	sie durfen gehen
you may go	du kannst gehen
you may go	sie konnen gehen
you may go	ihr konnt gehen
you missed	du hast nicht getroffen
you missed	sie haben nicht getroffen
you owe me	du schuldest mir was
youre big	du bist gro
youre old	du bist alt
youre old	sie sind alt
youve won	du hast gewonnen
youve won	ihr habt gewonnen
youve won	sie haben gewonnen
all is well	alles ist gut
